Recipients Information=>,FirstName,LastName,Street,City,State,Postal,Country,Email,Phone,Distance(miles),Categories, ,PickUp Information =>,FirstName,LastName,Street,City,State,Postal,Country,Email,Phone,Day of Week
 ,Hazel,Pledger,4533 Hillview Drive,San Francisco,CA,94103,US,HazelBPledger@armyspy.com,707-216-2050,0.17629008256273368,"['Raw Meat', 'Dairy']", , ,Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,Thursday
 ,Vincent,Byrne,1114 Cemetery Street,San Francisco,CA,94107,US,VincentJByrne@armyspy.com,831-706-3222,0.18978802376437096,"['Dairy', 'Frozen']", , ,Kevin,Douglas,4714 Rardin Drive,San Francisco,CA,94107,US,KevinMDouglas@cuvox.de,650-636-5307,Tuesday
 ,Aaron,Jones,2480 Harrison Street,San Francisco,CA,94107,US,AaronCJones@gustr.com,415-483-0135,0.20055636738647856,"['Dairy', 'Seafood', 'Cold Prepared']", , ,Daniel,Hill,1255 Meadow Lane,San Francisco,CA,94103,US,DanielLHill@dayrep.com,707-276-7834,Saturday
 ,Joyce,English,3773 Hillview Drive,San Francisco,CA,94103,US,JoyceJEnglish@jourrapide.com,707-216-2473,0.20188584017269948,['Cold Prepared'], , ,Ricky,Loy,1798 Black Oak Hollow Road,San Francisco,CA,94107,US,RickyGLoy@fleckens.hu,408-717-3201,Friday
 ,Alberto,Johnson,1984 Delaware Avenue,San Francisco,CA,94108,US,AlbertoLJohnson@einrot.com,415-244-9566,0.20477619248366788,['Hot Prepared'], , ,Lynn,Alford,2013 Park Street,San Francisco,CA,94104,US,LynnEAlford@cuvox.de,925-399-9829,Saturday
 ,Ilse,Eaves,1793 Brown Street,San Francisco,CA,94104,US,IlseREaves@superrito.com,925-949-1646,0.2178283900050846,"['Hot Prepared', 'Frozen']", , ,Kim,Vesey,2618 Jim Rosa Lane,San Francisco,CA,94108,US,KimPVesey@fleckens.hu,415-788-3856,Tuesday
 ,Leroy,Davis,3328 Jim Rosa Lane,San Francisco,CA,94143,US,LeroyCDavis@superrito.com,415-836-6094,0.2190028440102047,['Raw Meat'], , ,Lillian,Splawn,4268 Ella Street,San Francisco,CA,94107,US,LillianBSplawn@fleckens.hu,650-297-1472,Wednesday
 ,Dominique,Perry,1583 Delaware Avenue,San Francisco,CA,94104,US,DominiqueMPerry@gustr.com,415-276-2823,0.2262972216898383,[], , ,Dallas,Pitcock,4773 Duck Creek Road,San Francisco,CA,94107,US,DallasVPitcock@gustr.com,650-793-9128,Friday
 ,Jackson,McBride,2592 Jim Rosa Lane,San Francisco,CA,94108,US,JacksonSMcBride@fleckens.hu,415-788-7377,0.22968956160407045,"['Seafood', 'Hot Prepared', 'Cold Prepared']", , ,Frank,McCoy,1251 Water Street,San Francisco,CA,94107,US,FrankMMcCoy@jourrapide.com,925-359-2949,Thursday
 ,Vicki,Smith,2653 Rardin Drive,San Francisco,CA,94107,US,VickiNSmith@rhyta.com,650-722-6966,0.2441710252165437,"['Raw Meat', 'Hot Prepared']", , ,Jennie,White,2529 Locust View Drive,San Francisco,CA,94107,US,JennieMWhite@teleworm.us,415-968-6298,Wednesday
 ,Myra,Donohoe,2333 Roosevelt Street,San Francisco,CA,94112,US,MyraJDonohoe@rhyta.com,415-405-2246,0.24520075734177155,"['Dairy', 'Cold Prepared']", , ,Rick,Jones,4769 Clifford Street,San Francisco,CA,94124,US,RickFJones@cuvox.de,510-686-4721,Friday
 ,Betty,Boatner,1751 Locust View Drive,San Francisco,CA,94118,US,BettyJBoatner@gustr.com,415-933-0390,0.24979522690483316,[], , ,Darius,Aycock,1720 Harrison Street,San Francisco,CA,94115,US,DariusJAycock@rhyta.com,415-561-1827,Tuesday
 ,Scottie,Scoles,1819 Davis Avenue,San Francisco,CA,94103,US,ScottieLScoles@armyspy.com,707-750-0880,0.2532073177851044,['Seafood'], , ,Gary,Kim,932 Locust View Drive,San Francisco,CA,94108,US,GaryCKim@einrot.com,415-955-4432,Wednesday
 ,Helen,Nabors,4500 Jim Rosa Lane,San Francisco,CA,94108,US,HelenDNabors@einrot.com,415-839-9840,0.2613846442540563,['Hot Prepared'], , ,Lillian,Splawn,4268 Ella Street,San Francisco,CA,94107,US,LillianBSplawn@fleckens.hu,650-297-1472,Wednesday
 ,Karen,Brothers,2721 Jim Rosa Lane,San Francisco,CA,94107,US,KarenJBrothers@fleckens.hu,415-793-2817,0.2663141836901331,['Cold Prepared'], , ,Olin,Norfleet,3024 Jim Rosa Lane,San Francisco,CA,94104,US,OlinGNorfleet@gustr.com,415-779-9580,Thursday
 ,Tracie,Mann,4755 Ford Street,San Francisco,CA,94108,US,TraciePMann@teleworm.us,408-504-2300,0.2671822606997147,"['Dairy', 'Seafood', 'Hot Prepared', 'Cold Prepared']", , ,Dawn,Russell,2879 Wayside Lane,San Francisco,CA,94108,US,DawnSRussell@superrito.com,510-333-0105,Tuesday
 ,Malcolm,Miller,2423 Hide A Way Road,San Francisco,CA,94108,US,MalcolmMMiller@rhyta.com,408-250-3296,0.26752113882680584,['Hot Prepared'], , ,Robert,Obrien,1707 Station Street,San Francisco,CA,94103,US,RobertXObrien@jourrapide.com,510-870-0988,Thursday
 ,Christopher,Armer,3421 Duck Creek Road,San Francisco,CA,94108,US,ChristopherMArmer@armyspy.com,650-766-1028,0.27152099055438383,"['Hot Prepared', 'Cold Prepared', 'Frozen']", , ,Aaron,Jenkins,1299 Hillview Drive,San Francisco,CA,94107,US,AaronMJenkins@cuvox.de,707-225-3141,Wednesday
 ,Latisha,Brawley,3054 Boring Lane,San Francisco,CA,94105,US,LatishaBBrawley@rhyta.com,415-680-0530,0.2823871334482727,"['Seafood', 'Hot Prepared', 'Frozen']", , ,Brett,Sullivan,2784 Ella Street,San Francisco,CA,94107,US,BrettJSullivan@teleworm.us,650-262-4366,Tuesday
 ,Reggie,Hunter,3041 Boring Lane,San Francisco,CA,94107,US,ReggieTHunter@einrot.com,415-737-1680,0.2867110606991504,"['Raw Meat', 'Hot Prepared', 'Frozen']", , ,Amy,West,2826 Alexander Avenue,San Francisco,CA,94108,US,AmyEWest@fleckens.hu,925-549-0387,Tuesday
 ,Patricia,Baxter,1445 Friendship Lane,San Francisco,CA,94108,US,PatriciaTBaxter@gustr.com,408-674-2510,0.29495387629078257,[], , ,Raymond,Bennington,3438 Station Street,San Francisco,CA,94104,US,RaymondCBennington@armyspy.com,510-897-1978,Wednesday
 ,Gerald,White,4265 Boring Lane,San Francisco,CA,94110,US,GeraldMWhite@cuvox.de,415-641-0697,0.296538108224087,"['Raw Meat', 'Dairy']", , ,Tommy,Thompson,2914 Delaware Avenue,San Francisco,CA,94107,US,TommyBThompson@einrot.com,415-271-9316,Tuesday
 ,Kristen,Brown,4125 Friendship Lane,San Francisco,CA,94108,US,KristenMBrown@superrito.com,408-607-5735,0.3097853569866164,"['Seafood', 'Frozen']", , ,Frank,Smith,2303 Duck Creek Road,San Francisco,CA,94104,US,FrankJSmith@einrot.com,650-801-4685,Thursday
 ,Scott,Madrid,647 Delaware Avenue,San Francisco,CA,94115,US,ScottSMadrid@cuvox.de,415-346-6478,0.3157817844027375,"['Raw Meat', 'Cold Prepared']", , ,Jake,Pete,3507 Delaware Avenue,San Francisco,CA,94124,US,JakeKPete@einrot.com,415-341-8461,Thursday
 ,Imogene,Briley,2667 Thunder Road,San Francisco,CA,94108,US,ImogeneTBriley@superrito.com,650-483-9444,0.3225148962062241,['Frozen'], , ,Sarah,Lawton,4629 Jim Rosa Lane,San Francisco,CA,94112,US,SarahBLawton@rhyta.com,415-841-5612,Saturday
 ,Donna,Clark,1656 Ella Street,San Francisco,CA,94107,US,DonnaTClark@gustr.com,650-276-8952,0.3264627767216384,"['Raw Meat', 'Dairy']", , ,Megan,Boykin,2681 Rardin Drive,San Francisco,CA,94143,US,MeganDBoykin@dayrep.com,650-682-0702,Saturday
 ,Myra,Donohoe,2333 Roosevelt Street,San Francisco,CA,94112,US,MyraJDonohoe@rhyta.com,415-405-2246,0.32690764980711984,"['Dairy', 'Cold Prepared']", , ,Porsche,Jackson,972 Meadow Lane,San Francisco,CA,94124,US,PorscheDJackson@einrot.com,707-404-1425,Thursday
 ,John,Howard,4598 Delaware Avenue,San Francisco,CA,94124,US,JohnJHoward@gustr.com,415-341-8610,0.3305506417103374,[], , ,Robert,Eley,4214 Park Street,San Francisco,CA,94124,US,RobertLEley@superrito.com,925-500-5913,Tuesday
 ,Myra,Donohoe,2333 Roosevelt Street,San Francisco,CA,94112,US,MyraJDonohoe@rhyta.com,415-405-2246,0.3390235483864293,['Dairy'], , ,Christia,Stringer,3288 Station Street,San Francisco,CA,94103,US,ChristiaWStringer@cuvox.de,510-903-7842,Thursday
 ,Bonita,Vue,338 Thunder Road,San Francisco,CA,94108,US,BonitaCVue@dayrep.com,650-455-3995,0.3422600595513426,"['Raw Meat', 'Cold Prepared']", , ,Cathy,Bissonnette,1208 Jim Rosa Lane,San Francisco,CA,94110,US,CathyBBissonnette@gustr.com,415-824-0853,Thursday
 ,Basil,Mendez,611 Forest Avenue,San Francisco,CA,94143,US,BasilMMendez@armyspy.com,650-202-2768,0.3450284253342788,"['Raw Meat', 'Hot Prepared', 'Cold Prepared']", , ,Edwin,Goodson,1074 Boring Lane,San Francisco,CA,94107,US,EdwinTGoodson@gustr.com,415-652-6109,Friday
 ,Manuela,Forster,1128 Wolf Pen Road,San Francisco,CA,94107,US,ManuelaDForster@jourrapide.com,650-362-9859,0.3457159537526268,"['Dairy', 'Hot Prepared']", , ,Marie,Wells,3571 Lindale Avenue,San Francisco,CA,94108,US,MariePWells@jourrapide.com,510-499-5232,Saturday
 ,Helen,Nabors,4500 Jim Rosa Lane,San Francisco,CA,94108,US,HelenDNabors@einrot.com,415-839-9840,0.3489545025192975,[], , ,Nick,Howard,3952 Delaware Avenue,San Francisco,CA,94104,US,NickSHoward@gustr.com,415-236-3552,Thursday
 ,Louella,Henshaw,4824 Boring Lane,San Francisco,CA,94107,US,LouellaLHenshaw@gustr.com,415-645-8313,0.3503780872692261,[], , ,Sarah,Lawton,4629 Jim Rosa Lane,San Francisco,CA,94112,US,SarahBLawton@rhyta.com,415-841-5612,Saturday
 ,Susan,Carlos,2529 Jim Rosa Lane,San Francisco,CA,94107,US,SusanDCarlos@dayrep.com,415-862-9893,0.3522356458622437,['Dairy'], , ,Judith,Linton,1956 Lindale Avenue,San Francisco,CA,94108,US,JudithCLinton@gustr.com,510-499-5206,Tuesday
 ,Arlene,Howard,4645 Hide A Way Road,San Francisco,CA,94107,US,ArleneJHoward@dayrep.com,408-213-0718,0.35704249597497795,"['Raw Meat', 'Dairy', 'Seafood', 'Hot Prepared', 'Cold Prepared']", , ,Megan,Boykin,2681 Rardin Drive,San Francisco,CA,94143,US,MeganDBoykin@dayrep.com,650-682-0702,Saturday
 ,Anna,Smith,467 Boring Lane,San Francisco,CA,94107,US,AnnaRSmith@armyspy.com,415-630-9437,0.3811325150701764,['Hot Prepared'], , ,Charlie,Jones,4039 Black Oak Hollow Road,San Francisco,CA,94107,US,CharlieTJones@gustr.com,408-717-4330,Friday
 ,Susan,Carlos,2529 Jim Rosa Lane,San Francisco,CA,94107,US,SusanDCarlos@dayrep.com,415-862-9893,0.3828225373298052,[], , ,Paul,Nelson,4421 Wolf Pen Road,San Francisco,CA,94107,US,PaulCNelson@fleckens.hu,650-426-6337,Saturday
 ,Marta,Beavers,3169 Roosevelt Street,San Francisco,CA,94112,US,MartaRBeavers@rhyta.com,415-404-9268,0.3832066539354397,"['Dairy', 'Frozen']", , ,Louis,Smith,4425 Locust View Drive,San Francisco,CA,94143,US,LouisKSmith@gustr.com,415-978-4582,Wednesday
 ,Donna,Michalak,221 Thompson Drive,San Francisco,CA,94108,US,DonnaLMichalak@cuvox.de,510-387-6452,0.38408930322666973,"['Hot Prepared', 'Cold Prepared']", , ,Ida,Lyon,445 Jim Rosa Lane,San Francisco,CA,94103,US,IdaLLyon@einrot.com,415-863-2076,Saturday
 ,Carol,Payne,484 Ella Street,San Francisco,CA,94107,US,CarolTPayne@gustr.com,650-297-9398,0.3891699439518586,['Cold Prepared'], , ,Steven,Thompson,731 Park Street,San Francisco,CA,94107,US,StevenJThompson@cuvox.de,925-374-4005,Saturday
 ,Joseph,Murdock,2629 Jim Rosa Lane,San Francisco,CA,94103,US,JosephIMurdock@armyspy.com,415-865-8366,0.3963759941667866,[], , ,Karrie,Rush,4237 Jim Rosa Lane,San Francisco,CA,94104,US,KarrieWRush@dayrep.com,415-779-0400,Saturday
 ,Arturo,Harman,3266 Harrison Street,San Francisco,CA,94115,US,ArturoTHarman@einrot.com,415-563-0322,0.3985309354736192,"['Raw Meat', 'Frozen']", , ,Efrain,Russell,288 Cemetery Street,San Francisco,CA,94104,US,EfrainLRussell@einrot.com,831-740-1513,Saturday
 ,Arturo,Harman,3266 Harrison Street,San Francisco,CA,94115,US,ArturoTHarman@einrot.com,415-563-0322,0.3996587459646626,[], , ,Carrie,Tolbert,1878 Thunder Road,San Francisco,CA,94108,US,CarrieJTolbert@einrot.com,650-455-2148,Saturday
 ,Kristen,Brown,4125 Friendship Lane,San Francisco,CA,94108,US,KristenMBrown@superrito.com,408-607-5735,0.4055134961661513,"['Seafood', 'Cold Prepared', 'Frozen']", , ,Rebecca,Hicks,36 Park Street,San Francisco,CA,94103,US,RebeccaHHicks@gustr.com,925-459-8491,Wednesday
 ,Linda,Brown,2870 Haul Road,San Francisco,CA,94143,US,LindaEBrown@superrito.com,650-999-3353,0.4112861182037965,"['Seafood', 'Hot Prepared', 'Cold Prepared']", , ,Porsche,Jackson,972 Meadow Lane,San Francisco,CA,94124,US,PorscheDJackson@einrot.com,707-404-1425,Thursday
 ,Margaret,Danis,492 Harrison Street,San Francisco,CA,94107,US,MargaretRDanis@cuvox.de,415-515-0161,0.4132338075384648,['Seafood'], , ,Stephen,Dollar,4856 Wolf Pen Road,San Francisco,CA,94107,US,StephenBDollar@jourrapide.com,650-426-0735,Friday
 ,Tanya,Wolff,4629 Water Street,San Francisco,CA,94103,US,TanyaAWolff@cuvox.de,925-270-7562,0.4201515416301232,"['Dairy', 'Cold Prepared']", , ,Alex,Fondren,491 Delaware Avenue,San Francisco,CA,94108,US,AlexJFondren@gustr.com,415-248-3427,Wednesday
 ,Linda,Brown,2870 Haul Road,San Francisco,CA,94143,US,LindaEBrown@superrito.com,650-999-3353,0.4227157351453503,"['Seafood', 'Hot Prepared', 'Cold Prepared']", , ,Ann,Koester,805 Jim Rosa Lane,San Francisco,CA,94143,US,AnnNKoester@einrot.com,415-817-3921,Friday
 ,Anna,Smith,467 Boring Lane,San Francisco,CA,94107,US,AnnaRSmith@armyspy.com,415-630-9437,0.4236909204701258,[], , ,Vincent,Saltsman,3619 Boring Lane,San Francisco,CA,94143,US,VincentCSaltsman@gustr.com,415-644-9191,Thursday
 ,Stephanie,Salas,3231 Wolf Pen Road,San Francisco,CA,94107,US,StephanieJSalas@superrito.com,650-449-3909,0.4293751124212312,['Cold Prepared'], , ,Francisco,Parrish,348 Ella Street,San Francisco,CA,94107,US,FranciscoJParrish@gustr.com,650-207-2651,Friday
 ,Linda,Brown,2870 Haul Road,San Francisco,CA,94143,US,LindaEBrown@superrito.com,650-999-3353,0.439502196528815,['Hot Prepared'], , ,Christia,Stringer,3288 Station Street,San Francisco,CA,94103,US,ChristiaWStringer@cuvox.de,510-903-7842,Thursday
 ,Kenneth,Aguilar,7 Locust View Drive,San Francisco,CA,94108,US,KennethPAguilar@rhyta.com,415-994-1972,0.4428906507385947,[], , ,Francisco,Parrish,348 Ella Street,San Francisco,CA,94107,US,FranciscoJParrish@gustr.com,650-207-2651,Friday
 ,Scottie,Scoles,1819 Davis Avenue,San Francisco,CA,94103,US,ScottieLScoles@armyspy.com,707-750-0880,0.4514965670202988,[], , ,Debra,Holt,1672 Driftwood Road,San Francisco,CA,94108,US,DebraEHolt@dayrep.com,408-348-5551,Saturday
 ,Reggie,Hunter,3041 Boring Lane,San Francisco,CA,94107,US,ReggieTHunter@einrot.com,415-737-1680,0.4520592512007113,"['Dairy', 'Cold Prepared', 'Frozen']", , ,Russell,Lavender,515 Ventura Drive,San Francisco,CA,94111,US,RussellDLavender@einrot.com,831-255-0707,Thursday
 ,Arturo,Harman,3266 Harrison Street,San Francisco,CA,94115,US,ArturoTHarman@einrot.com,415-563-0322,0.4525306712693318,['Frozen'], , ,Kevin,Douglas,4714 Rardin Drive,San Francisco,CA,94107,US,KevinMDouglas@cuvox.de,650-636-5307,Tuesday
 ,Maria,Lee,625 Marietta Street,San Francisco,CA,94103,US,MariaJLee@jourrapide.com,707-598-0429,0.4599150234480879,['Dairy'], , ,Margaret,Redding,2631 Jim Rosa Lane,San Francisco,CA,94104,US,MargaretMRedding@armyspy.com,415-763-9722,Tuesday
 ,Tonya,Forster,2434 Roosevelt Street,San Francisco,CA,94108,US,TonyaWForster@einrot.com,415-434-7270,0.4606054939144632,['Raw Meat'], , ,Kathryn,Matos,4645 Wolf Pen Road,San Francisco,CA,94107,US,KathrynEMatos@armyspy.com,650-412-3344,Saturday
 ,Arlene,Howard,4645 Hide A Way Road,San Francisco,CA,94107,US,ArleneJHoward@dayrep.com,408-213-0718,0.4675536538270437,['Cold Prepared'], , ,Dallas,Pitcock,4773 Duck Creek Road,San Francisco,CA,94107,US,DallasVPitcock@gustr.com,650-793-9128,Friday
 ,Jc,Brown,659 Roosevelt Street,San Francisco,CA,94108,US,JcSBrown@superrito.com,415-397-2306,0.4744901929827057,['Dairy'], , ,Robert,Hill,4944 Delaware Avenue,San Francisco,CA,94108,US,RobertOHill@jourrapide.com,415-260-7025,Tuesday
 ,Vincent,Byrne,1114 Cemetery Street,San Francisco,CA,94107,US,VincentJByrne@armyspy.com,831-706-3222,0.4750593641283611,"['Dairy', 'Frozen']", , ,Barbara,Jefferson,4296 Ella Street,San Francisco,CA,94107,US,BarbaraHJefferson@einrot.com,650-297-5537,Saturday
 ,James,Pitts,4312 Alexander Avenue,San Francisco,CA,94111,US,JamesFPitts@cuvox.de,925-573-5318,0.475450507111416,['Dairy'], , ,Rebecca,Hicks,36 Park Street,San Francisco,CA,94103,US,RebeccaHHicks@gustr.com,925-459-8491,Wednesday
 ,Michael,Carter,1591 Delaware Avenue,San Francisco,CA,94107,US,MichaelDCarter@gustr.com,415-308-3956,0.4809320534567919,['Cold Prepared'], , ,Dallas,Pitcock,4773 Duck Creek Road,San Francisco,CA,94107,US,DallasVPitcock@gustr.com,650-793-9128,Friday
 ,Betty,Boatner,1751 Locust View Drive,San Francisco,CA,94118,US,BettyJBoatner@gustr.com,415-933-0390,0.48600520576141404,['Raw Meat'], , ,Raymond,Bennington,3438 Station Street,San Francisco,CA,94104,US,RaymondCBennington@armyspy.com,510-897-1978,Wednesday
 ,Patricia,Baxter,1445 Friendship Lane,San Francisco,CA,94108,US,PatriciaTBaxter@gustr.com,408-674-2510,0.4884785065819948,['Dairy'], , ,Darius,Aycock,1720 Harrison Street,San Francisco,CA,94115,US,DariusJAycock@rhyta.com,415-561-1827,Tuesday
 ,Lauren,Morning,4646 Friendship Lane,San Francisco,CA,94104,US,LaurenOMorning@fleckens.hu,408-564-6856,0.4896778535841642,"['Raw Meat', 'Dairy']", , ,Olin,Norfleet,3024 Jim Rosa Lane,San Francisco,CA,94104,US,OlinGNorfleet@gustr.com,415-779-9580,Thursday
 ,Susan,Carlos,2529 Jim Rosa Lane,San Francisco,CA,94107,US,SusanDCarlos@dayrep.com,415-862-9893,0.4900137842667364,[], , ,Anthony,Stevenson,4587 Wolf Pen Road,San Francisco,CA,94107,US,AnthonyMStevenson@gustr.com,650-362-9068,Saturday
 ,Benjamin,Hunter,2265 Station Street,San Francisco,CA,94104,US,BenjaminPHunter@einrot.com,510-921-8576,0.4902595092561294,"['Raw Meat', 'Dairy', 'Seafood', 'Hot Prepared', 'Cold Prepared', 'Frozen']", , ,Daniel,Hill,1255 Meadow Lane,San Francisco,CA,94103,US,DanielLHill@dayrep.com,707-276-7834,Saturday
 ,Kathy,Myers,1327 Emily Renzelli Boulevard,San Francisco,CA,94107,US,KathyTMyers@dayrep.com,831-703-5247,0.4975216753493147,['Frozen'], , ,Paula,Miller,4253 Harrison Street,San Francisco,CA,94107,US,PaulaPMiller@rhyta.com,415-483-7310,Tuesday
 ,Kathy,Myers,1327 Emily Renzelli Boulevard,San Francisco,CA,94107,US,KathyTMyers@dayrep.com,831-703-5247,0.5097686495894814,['Frozen'], , ,Scott,Hansen,3303 Delaware Avenue,San Francisco,CA,94108,US,ScottTHansen@gustr.com,415-272-8312,Thursday
 ,Carol,Payne,484 Ella Street,San Francisco,CA,94107,US,CarolTPayne@gustr.com,650-297-9398,0.5106602264014615,"['Seafood', 'Frozen']", , ,Gary,Kim,932 Locust View Drive,San Francisco,CA,94108,US,GaryCKim@einrot.com,415-955-4432,Wednesday
 ,Edmund,Garcia,1305 Rardin Drive,San Francisco,CA,94143,US,EdmundHGarcia@fleckens.hu,650-690-8484,0.5109339490398058,[], , ,Elizabeth,Davis,2110 Wolf Pen Road,San Francisco,CA,94107,US,ElizabethADavis@jourrapide.com,650-380-8854,Tuesday
 ,Mariana,Summers,4991 Locust View Drive,San Francisco,CA,94108,US,MarianaJSummers@einrot.com,415-954-6888,0.5127386780476633,[], , ,Mark,Ruiz,702 Jim Rosa Lane,San Francisco,CA,94143,US,MarkHRuiz@fleckens.hu,415-764-9431,Thursday
 ,Chester,Smart,1307 Cemetery Street,San Francisco,CA,94104,US,ChesterMSmart@teleworm.us,831-824-4746,0.5339198803203294,"['Hot Prepared', 'Cold Prepared']", , ,Stephen,Dollar,4856 Wolf Pen Road,San Francisco,CA,94107,US,StephenBDollar@jourrapide.com,650-426-0735,Friday
 ,Charles,Fields,1307 Roosevelt Street,San Francisco,CA,94115,US,CharlesMFields@teleworm.us,415-359-7985,0.5387742393829137,"['Raw Meat', 'Seafood', 'Cold Prepared']", , ,Kathryn,Matos,4645 Wolf Pen Road,San Francisco,CA,94107,US,KathrynEMatos@armyspy.com,650-412-3344,Saturday
 ,Saundra,Turner,4592 Wolf Pen Road,San Francisco,CA,94107,US,SaundraKTurner@rhyta.com,650-400-4902,0.5400010847535239,"['Dairy', 'Seafood', 'Frozen']", , ,Alex,Fondren,491 Delaware Avenue,San Francisco,CA,94108,US,AlexJFondren@gustr.com,415-248-3427,Wednesday
 ,Marcie,Pennington,452 Duck Creek Road,San Francisco,CA,94105,US,MarcieTPennington@dayrep.com,650-763-7754,0.5428822957053623,['Seafood'], , ,Sharon,Kellett,4032 Roosevelt Street,San Francisco,CA,94107,US,SharonPKellett@superrito.com,415-466-3367,Friday
 ,Lawrence,Miller,2024 Boring Lane,San Francisco,CA,94108,US,LawrenceMMiller@cuvox.de,415-622-1520,0.5445724895133209,"['Raw Meat', 'Dairy', 'Seafood', 'Cold Prepared', 'Frozen']", , ,Alex,Fondren,491 Delaware Avenue,San Francisco,CA,94108,US,AlexJFondren@gustr.com,415-248-3427,Wednesday
 ,Margaret,Danis,492 Harrison Street,San Francisco,CA,94107,US,MargaretRDanis@cuvox.de,415-515-0161,0.5462347189817266,"['Raw Meat', 'Seafood']", , ,Ester,Valle,102 Delaware Avenue,San Francisco,CA,94107,US,EsterCValle@teleworm.us,415-310-2239,Thursday
 ,Guillermo,Nord,2919 Jim Rosa Lane,San Francisco,CA,94108,US,GuillermoGNord@cuvox.de,415-839-2068,0.5470069874290938,['Dairy'], , ,Jose,Skaggs,2454 Davis Avenue,San Francisco,CA,94103,US,JoseDSkaggs@einrot.com,707-780-9700,Saturday
 ,Richard,King,3050 Emily Renzelli Boulevard,San Francisco,CA,94143,US,RichardPKing@armyspy.com,831-572-9106,0.5504116481618777,['Cold Prepared'], , ,Lessie,Whitlock,3148 Harrison Street,San Francisco,CA,94122,US,LessieJWhitlock@fleckens.hu,415-502-4054,Saturday
 ,Sharon,Ashley,1482 Rardin Drive,San Francisco,CA,94107,US,SharonWAshley@rhyta.com,650-648-3736,0.5536649754376729,"['Dairy', 'Cold Prepared']", , ,Steven,Thompson,731 Park Street,San Francisco,CA,94107,US,StevenJThompson@cuvox.de,925-374-4005,Saturday
